Регион;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
    Дальневосточный федеральный округ;1 154 241,60;1 424 874,10;1 755 419,80;1 827 020,30;1 842 429,40;2 037 348,10;2 198 189,20;1 978 596,30;2 057 304,30;2 297 857,10;2 432 328,70;2 539 326,60;2 462 626,60;2 656 116,50;2 802 811,90;;;;;
    Дальневосточный федеральный округ;;;;;;;;;;;;;;;;3 227 110,80;4 646 005,10;2 367 753;3 460 541,90;3 761 038,90
        Республика Бурятия;155 433,90;172 881,50;271 471,50;318 867,50;337 499,80;408 381,70;451 981,70;439 138,30;494 029,80;524 411;499 905,50;450 740,70;479 356,30;450 131,60;401 552,60;358 589,50;372 649,50;279 649,40;534 506,90;773 080
        Забайкальский край;87 025,10;107 277;159 055,90;165 856,70;196 761,70;204 752,20;218 642,70;181 764,90;169 163;211 584,80;208 077,70;217 433,50;203 518,30;201 603,40;234 918,60;235 376,20;245 720;175 100,20;240 724,50;214 058,60
            Агинский Бурятский округ (Забайкальский край);3 601,70;8 231,90;8 053,70;4 872,80;3 905;;;;;;;;;;;;;;;
        Республика Саха (Якутия);111 897,90;135 807,30;167 667;168 867;177 909;158 296;165 572;147 309,90;202 214,90;187 067,60;225 901,80;261 883;90 162,20;143 423,50;218 351;200 135,70;147 789,80;70 990;122 648,40;171 595,40
        Камчатский край;62 851,60;82 090,60;70 574,50;78 218,90;94 342,90;85 612,70;83 226,50;92 099,30;108 413,30;72 702,40;75 691;73 374,70;48 730,20;87 461;87 454,40;95 981;105 359,90;58 767,70;101 193,80;82 179
            Корякский округ, входящий в состав Камчатского края;0;0;;;;;;;;;;;;;;;;;;
        Приморский край;485 470,60;571 707;740 207,60;794 970,80;765 119,70;974 277,10;966 779,20;825 772,60;813 912,80;945 210,90;960 839,70;1 025 391,80;1 094 676,10;1 101 554,80;981 092,70;914 590;2 220 800,10;609 678,40;880 621,30;974 257
        Хабаровский край;177 777,10;211 919,90;264 769,20;282 603,90;265 296,20;232 840,40;342 624,80;279 988,90;311 571,50;366 797,40;346 390,60;341 897;287 653,10;325 846;438 738,90;348 530,20;360 693,80;147 903,50;313 287,40;313 492,60
        Амурская область;105 071,60;121 077,70;173 916,90;108 800,20;140 467,20;156 097,40;159 084,90;177 432,40;159 789,70;250 505,60;338 453,80;377 101,20;367 049,80;352 062,50;351 528,60;380 101,30;394 035;477 769,40;505 731,50;438 235,70
        Магаданская область;15 560,50;38 032,40;46 376,80;48 425,40;43 365,60;53 247,60;61 236,40;44 081,50;57 207,80;80 723,10;84 595,50;99 206,60;125 431;118 085,80;116 952,70;119 972,40;139 363,80;20 021;67 552,10;65 694,60
        Сахалинская область;109 784,40;125 457,40;149 465,20;192 990;205 700,20;206 881,70;230 937,70;248 482,30;220 048,90;216 237;237 100,30;195 335,20;267 354,80;312 379,50;394 836,60;369 065,70;456 544,60;352 431,10;414 356;422 713,70
        Еврейская автономная область;85 827,90;138 781,80;142 442,60;152 144,10;150 228,60;170 095,20;188 727,70;163 429,40;184 145,40;178 613,10;163 356;165 137,10;181 569,40;215 303,40;198 481,20;193 506,30;198 842,90;172 217;273 360;298 472,30
        Чукотский автономный округ;0;0;;;;;;;;;0;;;;15 375,80;11 262,50;4 205,70;3 225,30;6 560;7 260
    Крымский федеральный округ;;;;;;;;;;;;3 370 703,30;10 556 444,30;;;;;;;
